,CONSTITUENCY,NAME,PARTY
136,Jaynagar,Biswanath Das,AITC
137,Baruipur Purba,Nirmal Chandra Mondal,AITC
138,Canning Paschim,Shyamal Mondal,AITC
139,Canning Purba,Saokat Molla,AITC
140,Baruipur Paschim,Biman Banerjee,AITC
141,Magrahat Purba,Namita Saha,AITC
142,Magrahat Paschim,Gias Uddin Molla,AITC
143,Diamond Harbour,Dipak Kumar Halder,AITC
144,Falta,Tamonash Ghosh,AITC
145,Satgachia,Sonali Guha (Bose),AITC
146,Bishnupur,Dilip Mondal,AITC
147,Sonarpur Dakshin,Jiban Mukhopadhyay,AITC
148,Bhangore,Abdur Razzak Molla,AITC
149,Kasba,Ahmed Javed Khan,AITC
150,Jadavpur,Sujan Chakraborty,CPM
151,Sonarpur Uttar,Firdousi Begum,AITC
152,Tollygunge,Aroop Biswas,AITC
153,Behala Purba,Sovan Chatterjee,AITC
154,Behala Paschim,Partha Chatterjee,AITC
155,Maheshtala,Kasturi Das,AITC
156,Budge Budge,Ashok Kumar Deb,AITC
157,Metiaburuz,Abdul Khaleque Molla,AITC
158,Kolkata Port,Firhad Hakim,AITC
159,Bhabanipur,Mamata Banerjee,AITC
160,Rashbehari,Sobhandeb Chattopadhyay,AITC
161,Ballygunge,Subrata Mukherjee,AITC
162,Chowrangee,Nayna Bandyopadhyay,AITC
163,Entally,Swarna Kamal Saha,AITC
164,Beleghata,Paresh Paul,AITC
165,Jorasanko,Smita Bakshi,AITC
166,Shyampukur,Shashi Panja,AITC
167,Maniktala,Sadhan Pande,AITC
168,Kashipur-Belgachia,Mala Saha,AITC
169,Bally,Baishali Dalmiya,AITC
170,Howrah Uttar,Laxmi Ratan Shukla,AITC
171,Howrah Madhya,Arup Roy (Apu),AITC
172,Shibpur,Jatu Lahiri,AITC
173,Howrah Dakshin,Brajamohan Majumder,AITC
174,Sankrail,Sital Kumar Sardar,AITC
175,Panchla,Gulsan Mullick,AITC
176,Uluberia Purba,Haider Aziz Safwi,AITC
177,Uluberia Uttar,Dr. Nirmal Maji,AITC
178,Uluberia Dakshin,Pulak Roy,AITC
179,Shyampur,Kalipada Mandal,AITC
180,Bagnan,Arunava Sen(Raja),AITC
181,Amta,Asit Mitra,INC
182,Udaynarayanpur,Samir Kumar Panja,AITC
183,Jagatballavpur,Md. Abdul Ghani,AITC
184,Domjur,Rajib Banerjee,AITC
185,Uttarpara,Prabir Kumar Ghosal,AITC
186,Sreerampur,Dr. Sudipta Roy,AITC
187,Champdani,Abdul Mannan,INC
188,Singur,Rabindranath Bhattacharya,AITC
189,Chandannagore,Indranil Sen,AITC
190,Chunchura,Asit Mazumder (Tapan),AITC
191,Balagarh,Ashim Kumar Majhi,AITC
192,Pandua,Sk. Amjad Hossain,CPM
193,Saptagram,Tapan Dasgupta,AITC
194,Chanditala,Swati Khandoker,AITC
195,Jangipara,Snehasis Chakraborty,AITC
196,Haripal,Becharam Manna,AITC
197,Dhanekhali,Asima Patra,AITC
198,Tarakeswar,Rachhpal Singh,AITC
199,Pursurah,Dr. M. Nuruzzaman,AITC
200,Arambagh,Krishna Chandra Santra,AITC
201,Goghat,Manas Majumdar,AITC
202,Khanakul,Iqbal Ahmed,AITC
203,Tamluk,Ashok Kumar Dinda,CPI
204,Panskura Purba,Sk Ibrahim Ali,CPM
205,Panskura Paschim,Phiroja Bibi,AITC
206,Moyna,Sangram Kumar Dolai,AITC
207,Nandakumar,Sukumar De,AITC
208,Mahisadal,Dr.Sudarsan Ghosh Dastidar,AITC
209,Haldia,Tapasi Mondal,CPM
210,Nandigram,Adhikari Suvendu,AITC
211,Chandipur,Amiyakanti Bhattacharjee,AITC
212,Patashpur,Jyotirmoy Kar,AITC
213,Kanthi Uttar,Banasri Maity,AITC
214,Bhagabanpur,Ardhendu Maity,AITC
215,Khejuri,Ranajit Mondal,AITC
216,Kanthi Dakshin,Adhikari Dibyendu,AITC
217,Ramnagar,Akhil Giri,AITC
218,Egra,Das Samares,AITC
219,Dantan,Bikram Chandra Pradhan,AITC
220,Nayagram,Dulal Murmu,AITC
221,Gopiballavpur,Churamani Mahata,AITC
222,Jhargram,Sukumar Hansda,AITC
223,Keshiary,Paresh Murmu,AITC
224,Kharagpur Sadar,Dilip Kumar Ghosh,BJP
225,Narayangarh,Prodyut Kumar Ghosh,AITC
226,Sabang,Manas Ranjan Bhunia,INC
227,Pingla,Saumen Kumar Mahapatra,AITC
228,Kharagpur,Dinen Roy,AITC
229,Debra,Selima Khatun (Bibi),AITC
230,Daspur,Mamata Bhunia,AITC
231,Ghatal,Shankar Dolai,AITC
232,Chandrakona,Chhaya Dolai,AITC
