SI.NO,NAME,PARTY,Constituency,state/union territory
240,"Mallikarjun, Dr. Prabha",INC,Davanagere,Karnataka
241,"Mandal, Shri Ajay Kumar",JD(U),Bhagalpur,Bihar
242,"Mandal, Shri Ramprit",JD(U),Jhanjharpur,Bihar
243,"Mandaviya, Dr. Mansukh",BJP,Porbandar,Gujarat
244,"Mane, Shri Dhairyasheel Sambhajirao",SS,Hatkanangle,Maharashtra
245,"Mani, Shri Shashank",BJP,Deoria,Uttar Pradesh
246,"Manjhi, Shri Jitan Ram",HAM (S),Gaya (SC),Bihar
247,"Manjunath, Dr. C N",BJP,Bangalore Rural,Karnataka
248,"Maran, Thiru Dayanidhi",DMK,Chennai Central,Tamil Nadu
249,"Masood, Shri Imran",INC,Saharanpur,Uttar Pradesh
250,"Mathukumilli, Shri Sribharat",TDP,Visakhapatnam,Andhra Pradesh
251,"Maurya, Shri Neeraj",SP,Aonla,Uttar Pradesh
252,"Medhi, Smt. Bijuli Kalita",BJP,Guwahati,Assam
253,"Meena, Shri Harish Chandra",INC,Tonk-Sawai Madhopur,Rajasthan
254,"Meena, Shri Murari Lal",INC,Dausa (ST),Rajasthan
255,"Meghwal, Shri Arjun Ram",BJP,Bikaner (SC),Rajasthan
256,"Mehdi, Shri Aga Syed Ruhullah",J&KNC,Srinagar,Jammu and Kashmir
257,"Mewar, Smt. Mahima Kumari",BJP,Rajsamand,Rajasthan
258,"Mhaske, Shri Naresh Ganpat",SS,Thane,Maharashtra
259,"Mhatre, Shri Balya Mama Suresh Gopinath",NCPSP,Bhiwandi,Maharashtra
260,"Mishra, Dr. Rajesh",BJP,Sidhi,Madhya Pradesh
261,"Mishra, Shri Janardan",BJP,Rewa,Madhya Pradesh
262,"Mitali, Smt. Bag",AITC,Arambag (SC),West Bengal
263,"Modi, Shri Narendra",BJP,Varanasi,Uttar Pradesh
264,"Mohan, Shri P C",BJP,Bangalore Central,Karnataka
265,"Mohanbhai, Smt. Delkar Kalaben",BJP,Dadra and Nagar Haveli,Dadra and Nagar Haveli and Daman and Diu
266,"Mohol, Shri Murlidhar",BJP,Pune,Maharashtra
267,"Moitra, Ms. Mahua",AITC,Krishnanagar,West Bengal
268,"Mondal, Smt. Pratima",AITC,Jaynagar (SC),West Bengal
269,"Munda, Shri Kali Charan",INC,Khunti (ST),Jharkhand
270,"Murmu, Shri Khagen",BJP,Maldaha Uttar,West Bengal
271,"Nag, Shri Bhojraj",BJP,Kanker (ST),Chhattisgarh
272,"Nagar, Shri Rodmal",BJP,Rajgarh,Madhya Pradesh
273,"Nagaraju, Shri Bastipati",TDP,Kurnool,Andhra Pradesh
