SI.NO,NAME,PARTY,Constituency,state/union territory
516,"Venkatesan, Shri S",CPI(M),Madurai,Tamil Nadu
517,"Venugopal, Shri K C",INC,Alappuzha,Kerala
518,"Verma, Shri Lalji",SP,Ambedkar Nagar,Uttar Pradesh
519,"Verma, Shri Rajesh",LJSP(RV),Khagaria,Bihar
520,"Verma, Shri Ram Shiromani",SP,Shrawasti,Uttar Pradesh
521,"Vira, Mrs Ruchi",SP,Moradabad,Uttar Pradesh
522,"Wadiyar, Shri Yaduveer",BJP,Mysore,Karnataka
523,"Wagh, Smt. Smita Uday",BJP,Jalgaon,Maharashtra
524,"Waikar, Shri Ravindra Dattaram",SS,Mumbai North West,Maharashtra
525,"Waje, Shri Rajabhau Parag Prakash",SHSUBT,Nashik,Maharashtra
526,"Wakchaure, Shri Bhausaheb Rajaram",SHSUBT,Shirdi (SC),Maharashtra
527,"Wankhade, Shri Balwant Baswant",INC,Amravati (SC),Maharashtra
528,"Wankhede, Dr. Lata",BJP,Sagar,Madhya Pradesh
529,"Warring, Shri Amrinder Singh Raja",INC,Ludhiana,Punjab
530,"Yadav, Shri Aditya",SP,Badaun,Uttar Pradesh
531,"Yadav, Shri Akhilesh",SP,Kannauj,Uttar Pradesh
532,"Yadav, Shri Akshay",SP,Firozabad,Uttar Pradesh
533,"Yadav, Shri Ashok Kumar",BJP,Madhubani,Bihar
534,"Yadav, Shri Bhupender",BJP,Alwar,Rajasthan
535,"Yadav, Shri Dharmendra",SP,Azamgarh,Uttar Pradesh
536,"Yadav, Shri Dinesh Chandra",JD(U),Madhepura,Bihar
537,"Yadav, Shri Giridhari",JD(U),Banka,Bihar
538,"Yadav, Shri Surendra Prasad",RJD,Jahanabad,Bihar
539,"Yadav, Smt. Dimple",SP,Mainpuri,Uttar Pradesh
540,"Yusuf, Mr Pathan",AITC,Baharampur,West Bengal
