SI.NO,LINK,NAME,PARTY,STATE/UNION TERRITORY
48,https://sansad.in/getFile/newmembers/photos/P2435.jpg?source=rajyasabha,"Dubey, Shri Satish Chandra",BJP,Bihar
49,https://sansad.in/getFile/newmembers/photos/P2490.jpg?source=rajyasabha,"Dwivedi, Smt. Seema",BJP,Uttar Pradesh
50,https://sansad.in/getFile/newmembers/photos/P2626.jpg?source=rajyasabha,"Gandhi, Smt. Sonia",INC,Rajasthan
51,https://sansad.in/getFile/newmembers/photos/P2624.jpg?source=rajyasabha,"Garasiya, Shri Chunnilal",BJP,Rajasthan
52,https://sansad.in/getFile/newmembers/photos/P2487.jpg?source=rajyasabha,"Geeta alias Chandraprabha, Smt.",BJP,Uttar Pradesh
53,https://sansad.in/getFile/newmembers/photos/P2478.jpg?source=rajyasabha,"Gehlot, Shri Rajendra",BJP,Rajasthan
54,https://sansad.in/getFile/newmembers/photos/P2621.jpg?source=rajyasabha,"Ghose, Smt. Sagarika",AITC,West Bengal
55,https://sansad.in/getFile/newmembers/photos/P2535.jpg?source=rajyasabha,"Girirajan, Shri R.",DMK,Tamil Nadu
56,https://sansad.in/getFile/newmembers/photos/P2470.jpg?source=rajyasabha,"Gohil, Shri Shaktisinh",INC,Gujarat
57,https://sansad.in/getFile/newmembers/photos/P2606.jpg?source=rajyasabha,"Gopchade, Dr. Ajeet Madhavrao",BJP,Maharashtra
58,https://sansad.in/getFile/newmembers/photos/P2661.jpg?source=rajyasabha,"Gowalla, Shri Terash",BJP,Assam
59,https://sansad.in/getFile/newmembers/photos/P2589.jpg?source=rajyasabha,"Gupta, Dr. Dharmshila",BJP,Bihar
60,https://sansad.in/getFile/newmembers/photos/P2374.jpg?source=rajyasabha,"Gupta, Shri Narain Dass",AAP,National Capital Territory of Delhi
61,https://sansad.in/getFile/newmembers/photos/P2654.jpg?source=rajyasabha,"Gupta, Shri Rajinder",BJP,Punjab
62,https://sansad.in/getFile/newmembers/photos/P2603.jpg?source=rajyasabha,"Gurjar, Shri Banshilal",BJP,Madhya Pradesh
63,https://sansad.in/getFile/newmembers/photos/P2678.jpg?source=rajyasabha,"Guruswamy, Dr. Menaka",AITC,West Bengal
64,https://sansad.in/getFile/newmembers/photos/P2649.jpg?source=rajyasabha,"Haasan, Shri Kamal",MNM,Tamil Nadu
65,https://sansad.in/getFile/newmembers/photos/P2609.jpg?source=rajyasabha,"Handore, Shri Chandrakant Damodar",INC,Maharashtra
66,https://sansad.in/getFile/newmembers/photos/P2198.jpg?source=rajyasabha,"Haque, Shri Mohammed Nadimul",AITC,West Bengal
67,https://sansad.in/getFile/newmembers/photos/P2567.jpg?source=rajyasabha,"Heggade, Dr. Dharmasthala Veerendra",NOM.,Nominated
68,https://sansad.in/getFile/newmembers/photos/P2386.jpg?source=rajyasabha,"Hussain, Dr. Syed Naseer",INC,Karnataka
69,https://sansad.in/getFile/newmembers/photos/P2566.jpg?source=rajyasabha,"Ilaiyaraaja, Shri",NOM.,Nominated
70,https://sansad.in/getFile/newmembers/photos/P2652.jpg?source=rajyasabha,"Inbadurai, Shri I.S.",AIADMK,Tamil Nadu
71,https://sansad.in/getFile/newmembers/photos/P2578.jpg?source=rajyasabha,"Islam, Shri Samirul",AITC,West Bengal
