position tittle,NAME,PARTY,text-xs,,,,,,,,,,,flex href,leading-5,text-sm,text-xs,flex href,leading-6,text-sm,flex href
Members of Legislative Assembly (MLAs),Sri Jogeswara Rao. V,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-jogeswara-rao-v-171262585378336,Sri Jogeswara Rao. V,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-jogeswara-rao-v-171262585378337,Sri Jogeswara Rao. V,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-jogeswara-rao-v-171262585378337
Members of Legislative Assembly (MLAs),Sri Giddi satyanarayana,Janasena Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-giddi-satyanarayana-171262585321659,Sri Giddi satyanarayana,Janasena Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-giddi-satyanarayana-171262585321660,Sri Giddi satyanarayana,Janasena Party,https://www.india.gov.in/directory/whos-who/mla/sri-giddi-satyanarayana-171262585321660
Members of Legislative Assembly (MLAs),Sri Kala Venkatarao Kimidi,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kala-venkatarao-kimidi-171262585405026,Sri Kala Venkatarao Kimidi,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kala-venkatarao-kimidi-171262585405027,Sri Kala Venkatarao Kimidi,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kala-venkatarao-kimidi-171262585405027
Members of Legislative Assembly (MLAs),Sri Julakanti Brahmananda Reddy,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-julakanti-brahmananda-reddy-171262585442547,Sri Julakanti Brahmananda Reddy,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-julakanti-brahmananda-reddy-171262585442548,Sri Julakanti Brahmananda Reddy,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-julakanti-brahmananda-reddy-171262585442548
Members of Legislative Assembly (MLAs),Sri Kakarla Suresh,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kakarla-suresh-171262585462093,Sri Kakarla Suresh,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kakarla-suresh-171262585462094,Sri Kakarla Suresh,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kakarla-suresh-171262585462094
Members of Legislative Assembly (MLAs),Sri K. E. Shyam Kumar,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-k-e-shyam-kumar-171262585453818,Sri K. E. Shyam Kumar,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-k-e-shyam-kumar-171262585453819,Sri K. E. Shyam Kumar,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-k-e-shyam-kumar-171262585453819
Members of Legislative Assembly (MLAs),Sri Gummanur Jayaram,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-gummanur-jayaram-171262585336147,Sri Gummanur Jayaram,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-gummanur-jayaram-171262585336148,Sri Gummanur Jayaram,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-gummanur-jayaram-171262585336148
Members of Legislative Assembly (MLAs),Sri Kanna Lakshminarayana,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kanna-lakshminarayana-171262585565558,Sri Kanna Lakshminarayana,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kanna-lakshminarayana-171262585565559,Sri Kanna Lakshminarayana,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kanna-lakshminarayana-171262585565559
Members of Legislative Assembly (MLAs),Sri Kolusu Parthasarathy,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-kolusu-parthasarathy-171262585584714,Sri Kolusu Parthasarathy,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-kolusu-parthasarathy-171262585584715,Sri Kolusu Parthasarathy,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-kolusu-parthasarathy-171262585584715
Members of Legislative Assembly (MLAs),Sri Pasim Sunil Kumar,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-pasim-sunil-kumar-171262585914884,Sri Pasim Sunil Kumar,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-pasim-sunil-kumar-171262585914885,Sri Pasim Sunil Kumar,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-pasim-sunil-kumar-171262585914885
